id	year	author	title	tags	link
000000874	1676	Remaʿ.	A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]
001186704	1639	F., B. J.	Bloody Brother. A Tragedy. By B. J. F. [By John Fletcher and others.]
001186724	1669	F., C.	Pluto Furens &amp; Vinctus; or, The raging Devil bound. A modern farce [in three acts in prose]. Per Philocomicum [i.e. C. F.]
001187348	1661	F., K.	Presbyterian Lash: or, Noctroffs [i.e. Z. Crofton's] Maid whipt. A Tragy-comedy [in prose and verse]. As it was lately acted in the great roome at the Pye Tavern at Algate. By Noctroffe the Priest, and severall his parishioners at the eating of a chine of beefe. The first part. [A satire on Zachary Crofton, by K. F., i.e. Francis Kirkman.]
001187574	1655	F., R.	Imperial, a tragedy [in five acts and in verse. By R. F., i.e. Sir Ralph Freeman]
001196437	1649	FALLALL, Fardinando	Carmina colloquia; or, a demonaicall and damnable dialogue between the Devil and an Independent. Written in the last year of our freedome, and first of our bondage, ... by Fardinando Fallall, at Edinburgh, etc
001234390	1697	FILMER, Edward.	Unnatural Brother; a tragedy [in five acts and in verse]
001248523	1681	FLAMINIUS, Leo	Leonis Flaminii Itinerarium per Palæstinam, das ist, eine ... Reiss-Beschreibung ... worbey auch allerhand Figuren befindlich, etc
001249302	1670	FLATMAN, Thomas.	[On the death of ... George Duke of Albermarle ... A Pindariqu' Ode.]
001252999	1640	FLETCHER, John	[The Bloody Brother.] The Tragœdy of Rollo Duke of Normandy. Acted by his Majesties Servants. Written by John Fletcher, Gent [and others]
001253003	1640	FLETCHER, John	Coronation, a Comedy [in five acts and in verse]. Written by J. F. [or rather by J. Shirley]
001253004	1615	FLETCHER, John	Cupid's Revenge ... [A tragedy, in five acts, and in prose and verse.] By J. F. [and F. Beaumont.]
001253007	1637	FLETCHER, John	Elder Brother. A comedie, [in five acts and in verse.] Written by J. F. [and F. Beaumont?]
001253010	1661	FLETCHER, John	[The elder brother ... London 1637.]
001253016	1656	FLETCHER, John	[The Faithfull Shepherdesse ... The third Edition, with Addition.]
001253017	1665	FLETCHER, John	[The Faithfull Shepherdesse ... The third Edition, with Addition.]
001253024	1639	FLETCHER, John	Monsieur Thomas, a comedy [in five acts and in verse. Edited by R. Brome]
001253032	1640	FLETCHER, John	Rule a Wife and have a Wife. A comoedy, etc
001253037	1685	FLETCHER, John	Valentinian: a tragedy. As 'tis alter'd by the late Earl of Rochester. ... Together with a preface concerning the author [i.e. Lord Rochester] and his writings. By one of his friends [Robert Wolseley]
001255870	1670	RHODES, Richard	Flora's Vagaries; a comedy [in five acts and in prose. By R. Rhodes]
001257746	1635	FLORIMENE	Argument of the Pastorall of Florimene: with the Description of the Scenes and Intermedij
001268021	1633	FORD, John	Broken Heart. Acted by the King's Majesties Seruants at the priuate House in the Black-friers
001268030	1634	FORD, John	Chronicle Historie of Perkin Warbeck. A strange Truth. [A tragedy in five acts and chiefly in verse.]
001268042	1638	FORD, John	Fancies, Chast and Noble [a comedy, in five acts and chiefly in verse]
001268045	1639	FORD, John	Ladies Triall. [A play in five acts and chiefly in verse.]
001268052	1633	FORD, John	Loves Sacrifice. A Tragedie [in five acts and chiefly in verse]
001268054	1633	FORD, John	'T is Pitty shees a Whore. [A tragedy in five acts and chiefly in verse.]
001278407	1691	FOUNTAIN, John	[The Royal Shepherdess. A tragi-comedy [in five acts and in prose and verse. Altered by T. Shadwell, from the Rewards of Virtue, by J. F.]]
001315329	1592	FRAUNCE, Abraham.	Third part of the Countesse of Pembroke's Yvychurch; entituled, Amintas Dale, wherein are the most conceited tales of the Pagan gods in English hexameters, etc
001376528	1570	DROUT, John.	pityfull historie of two loving Italians, Gaulfrido and Barnardo le Vayne: which arrived in the Countrey of Greece, in the times of the noble Emperoure Vaspasian. And translated out of Italian into Englishe meeter by J. Drout. [Edited by J. P. Collier.] B.L
001435171	1639	GLAPTHORNE, Henry.	Argalus and Parthenia [a tragi-comedy, in five acts and in verse]
001435172	1640	GLAPTHORNE, Henry.	Hollander. A comedy [in five acts, and chiefly in prose]
001435173	1640	GLAPTHORNE, Henry.	Ladies Priveledge [a comedy, in five acts, and in verse]
001435177	1639	GLAPTHORNE, Henry.	Tragedy of Albertus Wallenstein ... Duke of Friedland, etc. [In five acts and in verse.]
001435179	1640	GLAPTHORNE, Henry.	Wit in a Constable. A comedy written 1639 ... And now printed as it was lately acted, etc
001442148	1540	GNAPHEUS, Gulielmus.	J. Palsgravii ... Ecphrasis Anglica in Comœdiam Acolasti. The Comedye of Acolastus translated into oure englysshe tongue after suche manner as chylderne are taught in the grammer schole fyrst worde for worde ... and afterwarde accordynge to the sence ... with admonitions ... for the more perfyte instructynge of the lerners, and ... brefe introductory to ... the dyvers sortes of meters, etc. Interpreted by I. Palsgrave. Lat. and Eng. B.L
001449809	1632	GOFFE, Thomas.	Couragious Turke, or, Amarath the first; a tragedie [in five acts and in verse. Edited by R. Meighen]
001449813	1631	GOFFE, Thomas.	Raging Turke, or, Bajazet the second: a tragedie [in five acts and in verse. Edited by R. Meighen]
001449815	1633	GOFFE, Thomas.	Tragedy of Orestes [in five acts and in verse]
001464953	1606	GOOSECAPPE, Gyles	Sir Gyles Goosecappe, Knight. A Comedie [in five acts, in prose and verse] presented by the Chil: of the Chappell
001474667	1640	GOUGH, J.	Strange Discovery; a tragi-comedy [in five acts and in verse]
001476079	1693	GOULD, Robert.	Corruption of the Times by Money. A satyr [in verse]
001476086	1696	GOULD, Robert.	Rival Sisters; or, The Violence of Love, a tragedy. [In verse.]
001500967	1663	GREENE, Alexander.	Politician cheated. A new comedy [in five acts and in prose]
001509795	1633	GREVILLE, Fulke	Certaine learned and elegant workes of the Right Honourable Fulke, Lord Brooke, written in his youth and familiar exercise with Sir P. Sidney
001521522	1687	Grotius, Hugo	[Christ's Passion, a tragedie [in five acts, in verse], with annotations. [Translated by G. Sandys.]]
001530656	1648	GUARINI, Giovanni Battista.	Il Pastor Fido. The faithfull Shepheard. [Translated from the Italian of Guarini.] With an addition of divers other Poems, concluding with a short discourse of the long Civill Warres of Rome ... by Richard Fanshawe, Esq. [With an engraved portrait of Guarini by Thomas Cross.]
001552331	1671	H., E.	Womens Conquest. A tragicomedy [in five acts and in verse]. ...Written by the Honourable E[dward] H[oward]
001553618	1640	H., S.	Sicily and Naples, or, the fatall union. A tragœdy [in five acts and in verse and prose]. By S[amuel] H[arding], A[rtium] B[accalaureus], e C[ollegio] Ex[oniensi. Edited by P. P.]
001601049	1691	HARRIS, Joseph	Mistakes, or, the false report: a tragi-comedy ... by Mr J. H. [in five acts, in verse and in prose. Part of the fifth act by W. Mountfort]. The Prologue ... by Mr Dryden. The Epilogue by Mr Tate
001627043	1696	HAYNS, Joseph.	[A Fatal Mistake: or, the Plot Spoil'd: a tragedy, etc. [in five acts, and in verse. With portraits of the author and of I. Reed, inserted]. MS. notes [by I. Reed].]
001629219	1663	HEAD, Richard	Hic et Ubique: or, The Humors of Dublin. A comedy [in five acts and in prose]
001633819	1656	PRESTWICH, Edmund.	Hectors; or, the False Challenge. A comedy [in five acts, and in prose]. Written in the year 1655; the scene London. [Sometimes attributed to Edmund Prestwich.]
001647244	1661	HEMINGS, William	Fatal Contract, a French Tragedy [in five acts and in verse], etc. [Edited by A. T. and A. P.]
001647245	1687	HEMINGS, William	[The Fatal Contract, a French Tragedy [in five acts and in verse], etc. [Edited by A. T. and A. P.]]
001647246	1662	HEMINGS, William	Jewes Tragedy, or, their fatal and final overthrow by Vespatian and Titus his son. Agreeable to the authentick and famous history of Josephus. [In five acts and in verse.]
001664305	1673	PORDAGE, Samuel.	Herod and Mariamna: a tragedy [in five acts and in verse by S. Pordage; edited by Elkanah Settle]
001677250	1636	HEYWOOD, Thomas	A Challenge for Beautie. As it hath beene sundry times acted by the King's Majesties Servants: at the Blackefriers, and at the Globe on the Banke-side
001677256	1633	HEYWOOD, Thomas	English Traveller. [A tragi-comedy in five acts, chiefly in verse.]
001677278	1606	HEYWOOD, Thomas	If you know not me, you know no bodie: or the troubles of Queen Elizabeth. [A play in prose and verse by T. H.]
001677308	1640	HEYWOOD, Thomas	corrected by the Author
001677309	1640	HEYWOOD, Thomas	[Loves Maistresse: or, the Queens Masque. [A tragic comedy, in five acts and in verse.]]
001677327	1638	HEYWOOD, Thomas	[The Rape of Lucrece, a true Roman Tragedie [in verse]. With the severall songs in their apt places, by Valerius the merrie Lord amongst the Roman Peeres ... The fourth Impression.]
001677332	1637	HEYWOOD, Thomas	Royall King, and the Loyall Subject, etc. [A tragi-comedy, in five acts, and in prose and verse.]
001677342	1638	HEYWOOD, Thomas	Wise-woman of Hogsdon. A Comedie [in five acts and principally in prose], etc
001677345	1617	HEYWOOD, Thomas	[A woman killed with kindness.]
001678077	1682	Hickeringill, Edmund	mushroom: or, A satyr against libelling Tories and prelatical tantivies: in answer to a satyr against sedition called The meddal. By the author of Absalom and Achitophel [i.e. John Dryden]. And here answered by the author of the Black nonconformist, etc. [Signed: E. H., i.e. E. Hickeringill.]
001679412	1666	HIERON, Samuel.	Fair-play on both sides: or, the surest way to heaven: discovered in a dispute between a Roman-Catholic and a Protestant
001679682	1693	HIGDEN, Henry.	Wary Widow; or, Sir Noisy Parrat; a comedy [in five acts, in prose and verse]
001704542	1631	Chettle, Henry	Tragedy of Hoffman; or, A revenge for a Father [in five acts and in verse. By H. Chettle]
001720349	1618	HOLYDAY, Barten.	Τεχνογαμια: or the Marriages of the Arts. A comedie [in five acts, in prose and verse], etc
001730578	1695	HOPKINS, Charles	Pyrrhus, king of Epirus, a Tragedy; [in five acts and in verse]
001746007	1678	HOWARD, Edward	Man of Newmarket, etc. [A comedy, in five acts and in prose, with songs.]
001746009	1668	HOWARD, Edward	Usurper, a tragedy [in five acts, and in verse]
001746417	1567	HOWARD, Henry	Songes and Sonettes
001746559	1674	HOWARD, James	English Mounsieur, a comedy [in five acts and in verse]
001747203	1668	HOWARD, Robert	Great Favourite, or, The Duke of Lerma. [A tragedy in five acts, and in verse.]
001747446	1681	HOWARD, William	Jesuites Advice to the Painter: upon the death of William Howard, etc. [In verse.]
001748776	1654	HOWELL, James	nuptialls of Peleus and Thetis. Consisting of a mask and a comedy, etc. [Translated from the “Tetide” of Diamante Gabrielli?]
001793259	1698	POWELL, George	Imposture defeated: or, A Trick to Cheat the Devil. A comedy [in five acts and in prose. By G. Powell]
001794371	1647	BOSTOCK, Robin.	Herod and Pilate reconciled: or, A late dialogue betwixt an I. and a Malignant (upon the Kings return to Homeby). [Two political satires, in verse. By R. Bostock.]
001799393	1690	FITZROY, afterwards SCOTT, James	Banished Duke: or, The Tragedy of Infortunatus [i.e. James, Duke of Monmouth. In five acts, and in verse]
001818869	1663	IRELAND, Thomas	Verses spoken at the appearance of the King and Queene, Duke and Dutchesse of York, in Christ-Church Hall, Oxford, Sept: 29. 1663. (Verses spoken to the King, Queen, and Dutchesse of Yorke in St John's Library in Oxford. [By Thomas Laurence?])
001819467	1690	IRISH EXPEDITION	Royal Voyage, or the Irish Expedition: a tragicomedy [in five acts and in verse], acted in ... 1689 and 90
001823663	1633	DAY, John	Ile of Gulls [a comedy in five acts and in prose. By J. Day]. As it hath been often acted in the Black Fryers, by the Children of the Revels
001824794	1691	ISSACHAR	Tribe of Issachar; or, the Ass Couchant. A poem. [A satire on the Jacobites.]
001831748	1661	J., B.	tragical history, admirable atchievements, and various events of Guy, Earl of Warwick, a tragedy [in five acts and in prose and verse], written by B. J
001837830	1692	AMES, Richard	Jacobite Conventicle. A poem [By Richard Ames]
001845131	1684	JAMES II., King of Great Britain and Ireland	To ... the Duke of York, upon his return to the care and management of the Navy of England. [Aug. 1684. Congratulatory verses.]
001857620	1673	PAYNE, Henry Neville.	Fatal Jealousie. A Tragedy [in five acts and in verse. By N. Payne]
001873657	1695	JEVON, Thomas.	[The Devil of a Wife; or, a Comical Transformation. [A farce in three acts and in prose.]]
001876770	1689	SETTLE, Elkanah.	Female Prelate: being the history and the life and death of Pope Joan. A tragedy [in five acts and in verse]. Written by a Person of Quality [i.e. Elkanah Settle]
001880622	1642	JOHN, the Baptist, Saint	Tyrannicall Government anatomized; or, A discourse concerning Evil Councellors. Being the life and death of John the Baptist. [A tragedy, translated from the Latin of G. Buchanan. In five parts and in verse.]
001896308	1635	JONES, John	Adrasta: or, the Woman's Spleene, and Lover's Conquest. A tragi-comedie [in five acts, in prose and verse]
001900833	1612	JONSON, Ben.	Alchemist. [A comedy, in five acts and in verse.]
001900865	1631	JONSON, Ben.	Bartholmew Fayre: a comedie, acted in the yeare, 1614. By the Lady Elizabeths Servants, etc
001900878	1611	JONSON, Ben.	Catiline his Conspiracy. [A tragedy, in five acts and in verse.]
001900894	1641	JONSON, Ben.	Divell is an Asse. A comedie acted in the yeare, 1616. By His Majesties Servants
001901004	1605	JONSON, Ben.	Seianus his fall. L.P. Few MS. corrections [by the author?]
001901013	1631	JONSON, Ben.	Staple of Newes. A comedie acted in the yeare, 1625. By his Maiesties Servants
001902698	1668	JORDAN, Thomas	Money is an Asse; a Comedy [in five acts and in prose]
001908811	1671	JOYNER, otherwise LYDE, William.	Roman Empress. A tragedy [in five acts and in verse]
001915259	1678	JUSTICE	rambling Justice, or the jealous husbands. With the humours of Sir John Twiford. [A comedy, in five acts, and in prose, by J. Leanerd. Borrowed from T. Middleton's “More Dissemblers besides Women.”]
001965168	1638	KILLIGREW, Henry	Conspiracy, a tragedy. [In five acts, in prose and verse.]
001975740	1638	KIRKE, John.	Seven Champions of Christendome. [A tragi-comedy, in five acts and in prose and verse] ... Written by J. K(irke)
002041979	1685	L., T. R. d.	All-Conquering Genius of ... James II, King of England ... display'd in a heroick stanza occasion'd by his happy Accession to the Crown. Whereunto his [sic] annexed a Congratulation to both their Majesties by way of an Ode ... By T. R. d. L
002047806	1672	LACY, John	Dumb Lady: or, The Farriar made Physician, etc. [A comedy, in five acts, and in prose, altered from Molière's “Médecin malgré lui.”]
002047808	1698	LACY, John	[The Old Troop: or, Monsieur Raggou. [A comedy, in five acts and in prose.]]
002083185	1690	LATE REVOLUTION	Late Revolution: or, The happy Change. A tragi-comedy [in five acts, in verse and prose] as it was acted throughout the English Dominions in the year 1688. Written by a Person of Quality
002101309	1677	Leanerd, John	Country Innocence: or, The Chambermaid turn'd Quaker. A comedy [in five acts and in prose]. With alterations and amendments. [from “The Countrie Girle ... By T. B.”]
002101310	1678	Leanerd, John	Rambling Justice; or, the Jealous Husbands. With the humours of Sir John Twiford, etc. [A comedy in five acts and in prose.]
002110881	1680	LEE, Nathaniel.	Cæsar Borgia, son of Pope Alexander the Sixth: a tragedy [in five acts and in verse]
002110882	1696	LEE, Nathaniel.	[Cæsar Borgia, son of Pope Alexander the Sixth: a tragedy [in five acts and in verse].]
002110884	1684	LEE, Nathaniel.	Constantine the Great; a tragedy, etc. [in five acts and in verse.]
002110888	1676	LEE, Nathaniel.	Gloriana, or the Court of Augustus Cæsar, etc. [A tragedy, in five acts and in verse.]
002110891	1681	LEE, Nathaniel.	Lucius Junius Brutus, Father of his Country. A tragedy [in five acts and in verse]
002110900	1690	LEE, Nathaniel.	Massacre of Paris: a tragedy [in five acts and in verse]
002110903	1685	LEE, Nathaniel.	[Mithridates, King of Pontus: a tragedy [in five acts, and in verse].]
002110910	1689	LEE, Nathaniel.	Princess of Cleve, etc. [A Tragi-Comedy, in five acts, in prose and in verse.]
002110916	1694	LEE, Nathaniel.	[The Rival Queens, etc.]
002110946	1676	LEE, Nathaniel.	Sophonisba, or Hannibal's Overthrow. A tragedy [in five acts and in verse]
002110949	1693	LEE, Nathaniel.	[Sophonisba, etc.]
002110955	1680	LEE, Nathaniel.	Theodosius: or, the Force of Love, a tragedy [in five acts and in verse]... With the musick betwixt the acts [by H. Purcell]
002110957	1692	LEE, Nathaniel.	[Theodosius: or, the Force of Love, a tragedy [in five acts and in verse]... With the musick betwixt the acts [by H. Purcell].]
002110976	1675	LEE, Nathaniel.	Tragedy of Nero, Emperour of Rome, etc. [In five acts, in verse and in prose.]
002110978	1696	LEE, Nathaniel.	[The Tragedy of Nero, emperour of Rome, etc.]
002151456	1691	LEVI, Tribe of	Rabshakeh Vapulans: or, an answer to the Tribe of Levi, in vindication of the Clergy. A poem, etc. MS. notes
002166832	1697	LIEUTENANT	Humorous Lieutenant, or Generous Enemies, a comedy [in five acts and in verse. By Beaumont and Fletcher]
002177156	1607	LINGUA	Lingua: Or, the Combat of the Tongue and the five Senses for superiority. A pleasant Comœdie [in five acts, in prose and verse. By T. Tomkis.]
002177162	1617	LINGUA	[Lingua. 1607. [By T. Tomkis.]]
002177164	1632	LINGUA	[Lingua. 1607. [By T. Tomkis.]]
002232210	1688	Inns of Court (LONDON)	Gesta Grayorum: or, the History of the high and mighty prince, Henry, Prince of Purpoole, Arch-Duke of Stapulia and Bernardia ... who reigned and died, A.D. 1594 [i.e. Henry Helmes, elected Master of the Revels]. Together with a masque, as it was presented ... for the entertainment of Q. Elizabeth, etc
002251230	1667	London	Conflagration of London; poetically delineated, etc. [By S. Ford.] Engl. and Lat
002252799	1659	LONDON CHANTICLEERS	London Chaunticleres. A witty Comœdy [in fourteen scenes, and in prose], full of various and delightfull mirth, etc
002252848	1647	CLEVELAND, John	[The Character of a London Diurnall. [By J. Cleaveland.]]
002263347	1584	LOSA, Andres de la.	Verdadero Entretenimiento del Christiano, en el qual se trata de las quatro postrimerias del Hombre, que son: Muerte, Iuyzio, Infierno, Gloria. Compuesto en verso de otaua rima, etc
002266317	1693	HOME, John	Royal Cuckold: or, Great Bastard. Giving an account of the birth and pedegree of Lewis le Grand. A tragy-comedy. Translated out of the German language by P. Vergerius. [In five acts, in prose and verse.]
002270601	1677	RAVENSCROFT, Edward	Wrangling Lovers: or, the Invisible Mistress. A comedy [in five acts, and in prose. By E. Ravenscroft]
002272403	1656	LOWER, William	Horatius: a Roman Tragedie [in five acts and in verse]
002272407	1655	LOWER, William	Polyeuctes, or the Martyr. A tragedy [in five acts and in verse, translated from Corneille]
002277950	1686	LUCIAN, of Samosata	[Burlesque upon Burlesque: or, the Scoffer Scoft. Being some of Lucian's Dialogues newly put into English Fustian, etc. [By C. Cotton ... In verse.]]
002284097	1637	LUMINALIA	Luminalia, or, the Festivall of Light. [By Sir William Davenant.] Personated in a Masque at Court, by the Queenes Majestie, and her Ladies, on Shrovetuesday Night, 1637, etc
002298780	1663	M., G.	Citizens Complaint for want of Trade, or the Trades-mans Outcry for lack of Money. [In verse.] By G. M
002299204	1658	M., J.	Two Plaies. The City Match. A comoedy. And The Amorous Warre, a Tragy-Comoedy. [In verse.] Both long since written, by J. M. of Ch. Ch. in Oxon. [i.e. Jasper Mayne.]
002299613	1692	M., M.	[Ane Godlie Dreame, compylit in Scotish meter, be M. M. Gentelwoman in Culros [i.e. Mistress Elizabeth Melvill, afterwards Colville, called Lady Culross] at the requeist of her friends.]
002299790	1632	M., P.	Fatall Dowry: a tragedy [in five acts and in verse]. Written by P[hilip] M[assinger] and N[athaniel] F[ield]
002300122	1678	M., W.	Huntington Divertisement, or, an Enterlude for the generall entertainment at the county-feast, held at Merchant-Taylors Hall, June 20, 1678. [By W. M.]
002300161	1679	M., W.	A Satyrical Poem on the most horrid and execrable Jesuitish Plot in 1678 for the assassination of the King ... By ... W. M., Esq
002345984	1680	MAIDWELL, Lawrence.	Loving Enemies: a comedy [in five acts, in prose and verse]
002366318	1653	MANLOVE, Edward.	Liberties and Customes of the Lead-mines within the wapentake of Wirksworth in the County of Derby ... composed in meeter, etc
002368653	1697	MANNING, Francis.	Greenwich Hill. A poem
002371862	1690	CAPILUPI, Lelio.	Mantuan English'd, and Paraphras'd: or, the character of a bad woman. [A translation of a portion of the “Cento Virgilianus in fœminas,” compiled by L. Capilupi of Mantua.]
002387275	1622	Marlowe, Christopher	[The troublesome Raigne and lamentable Death of Edward the Second, King of England: with the tragicall fall of proud Mortimer: and also the life and death of Peirs Gaveston, the great Earle of Cornewall, and mighty favorite of King Edward the second, etc. [A tragedy, in five acts and in verse.]]
002387322	1633	Marlowe, Christopher	Famous Tragedy of the Rich Jew of Malta. As it was playd before the King and Queene, in His Majesties Theatre at White-Hall, etc
002387339	1605	Marlowe, Christopher	[Tamburlaine the Great, etc. [A tragedy, in five acts and in verse, by Marlow.]]
002387650	1633	MARMION, Shakerley.	A Fine Companion
002396288	1602	MARSTON, John	[Antonio and Mellida.] The History of Antonio and Mellida. The first part. As it hath beene sundry times acted, by the children of Paules. Written by I. M. [i.e. J. Marston.]
002396298	1613	MARSTON, John	Insatiate Countesse. A Tragedie [in five acts, in prose and in verse]
002407010	1689	Marvell, Andrew	[A Collection of Poems on Affairs of State ... By A-M-l [Marvell] Esq.; and other eminent wits. (The second Part of the Collection of poems on affairs of state, by A-M-l, etc. The third part ... containing Esquire Marvel's further Instructions to a Painter, etc.) MS. notes.]
002414113	1632	MASON, John	[The Turke. A worthie Tragedie, etc. [in five acts, in prose and verse.]]
002416979	1638	MASSINGER, Philip.	[The Bondman: an Antient Storie, etc. [In five acts and in verse.]]
002416994	1638	MASSINGER, Philip.	[The Duke of Millaine. A Tragaedie [in five acts and in verse].]
002417003	1632	MASSINGER, Philip.	Emperour of the East. A Tragæ-Comedie [in five acts and in verse]
002417012	1636	MASSINGER, Philip.	Great Duke of Florence. A comicall historie [in five acts and in verse]
002417017	1632	MASSINGER, Philip.	Maid of Honour. [A tragi-comedy, in five acts and in verse]
002417022	1633	MASSINGER, Philip.	A New Way to pay Old Debts. A comoedie as it hath beene often acted at the Phœnix in Drury-Lane, by the Queenes Maiesties seruants
002417063	1656	MASSINGER, Philip.	excellent comedy, called The Old Law: or, a new way to please you [in five acts, in verse and prose] by Phil Massinger, T. Middleton, W. Rowley ... Together with an exact and perfect catalogue of all the playes, with the authors names, etc
002417071	1630	MASSINGER, Philip.	Renegado, a tragæcomedie [in five acts and in verse]
002417072	1629	MASSINGER, Philip.	Roman Actor; a tragædie [in five acts and in verse]
002417090	1651	MASSINGER, Philip	[The Virgin Martir, a Tragedie [in five acts and in verse and prose.]]
002417091	1661	MASSINGER, Philip	[The Virgin Martir, a Tragedie [in five acts and in verse and prose.]]
002417091	1661	MASSINGER, Philip	[The Virgin Martir, a Tragedie [in five acts and in verse and prose.]]
002423084	1679	MATRIMONIUM	Matrimonii Pensitatio: or, no joynture but the Nuggrural. [In verse.]
002435062	1633	MAY, Thomas	Heire. A comedie [in five acts, in verse and prose. Second edition]. Written by T. M(ay)
002435076	1658	MAY, Thomas	Old Couple. A comedy [in five acts and in verse]
002440903	1654	MEAD, Robert	Combat of Love and Friendship, a comedy [in five acts, in verse and prose]
002462653	1641	BRATHWAIT, Richard.	Mercurius Britannicus. Judicialis Censura; Furialis Cura.} Febris Judicialis. Sententia Navalis. Tragi-Comoedia Luteiæ summo cum applausu publice acta. [In four acts and in prose, by R. Brathwait.]
002462657	1641	BRATHWAIT, Richard.	Mercurius Britanicus; or, the English Intelligencer. A Tragic-Comedy, at Paris. Acted with great applause. [In four acts and in prose. By R. Braithwait.]
002462705	1647	MERCURIUS Pragmaticus, pseud. [i.e. Marchamont Nedham.]	Levellers levell'd. Or, the Independents conspiracie to root out Monarchie. An interlude [in five acts, in prose and verse], etc
002481671	1630	MICHAELMAS TERM	[Michaelmas Terme [a comedy in five acts and in verse and prose by T. Middleton], as it hath been ... acted by the Children of Paules.]
002486378	1662	Middleton, Thomas	Any Thing for a Quiet Life. A comedy [in five acts, and in prose]
002486393	1640	MIDDLETON, Thomas	A Mad World my Masters: a comedy. As it hath bin often acted at the Private House in Salisbury Court, by her Majesties Servants. Composed by T. M. Gent. [i.e. T. Middleton.]
002486399	1661	Middleton, Thomas	Mayor of Quinborough; a comedy [in five acts and in verse]
002486455	1653	Middleton, Thomas	Spanish Gipsie. [A comedy, in five acts and in prose and verse.] ... Written by T. Middleton and W. Rowley, etc
002486456	1661	MIDDLETON, Thomas	[The Spanish Gipsie. [A comedy, in five acts and in prose and verse.] ... Written by T. Middleton and W. Rowley, etc.]
002501548	1695	Milton, John	Poetical Works of John Milton. Containing Paradise Lost. Paradise Regained. Samson Agonistes, and his Poems on several occasions. Together with explanatory notes on each book of the Paradise Lost [by P. H., i.e. Patrick Hume]. L.P
002502401	1686	Milton, John	Paradisus Amissa, poema heroicum, quod a Joanne Miltono Anglo Anglice scriptum in decem libros digestum est: nunc autem a viris quibusdum natione eadem oriundis in linguam Romanam transfertur. [With a dedicatory epistle subscribed J. C.] Liber primus
002502624	1697	Milton, John	Works of Mr. John Milton [in English prose]
002508268	1694	MISCELLANY POEMS	[Pt. 4.] The annual miscellany: for the year 1694. Being the fourth part of Miscellany poems, etc
002521072	1670	MOLIÈRE, Jean Baptiste de.	Tartuffe; or, the French Puritan, a comedy [in five acts, in verse] render'd into English with much addition and advantage by M. Medbourne, etc
002527125	1660	Albemarle, George Monck	Iter Boreale, attempting something [sic] upon the successful and matchless March of the Lord General G. Monk, from Scotland, to London, etc. By a Rural Pen. [By R. Wild. In verse.]
002529096	1691	MONS	Siege and Surrender of Mons; a tragi-comedy [in three acts, in prose and verse], etc
002553315	1674	DUFFETT, Thomas.	[Being a burlesque of the “Empress of Morocco” by E. Settle.] The Empress of Morocco. A Farce. (An Epilogue spoken by witches after the manner of Macbeth.) [By T. Duffet.]
002569071	1691	MOUNTFORT, William.	[Greenwich-Park, a comedy [in five acts and in prose], etc.]
002569072	1688	MOUNTFORT, William.	Injur'd Lovers: or, the Ambitious Father. A tragedy, etc. [in five acts and in verse]
002569080	1697	MOUNTFORT, William.	Life and Death of Doctor Faustus, made into a farce. ... With the humours of Harlequin and Scaramouche, etc. [In three acts, in prose and verse.]
002569083	1690	MOUNTFORT, William.	Successfull Straingers. A tragi-comedy [in five acts and in verse and prose]
002571996	1610	MUCEDORUS	[A most pleasant Comedie [in verse and prose] of Mucedorus the kings sonne of Valentia and Amadine the Kings daughter of Arragon, with the merie conceites of Mouse, etc. [Attributed to Shakspere.]]
002593717	1676	MUSIC	Musick; or, a parley of instruments. [Songs, etc.] The first part
002598941	1681	N., N.	Rome's Follies; or, the Amorous Fryars, a comedy [in five acts, in prose and verse. The dedication signed N. N.]
002599202	1695	N., T.	A Poem on the Queen [Mary II.]. By T. N. Gent
002599395	1640	NABBES, Thomas.	Bride, a comedie. Acted in the yeere 1638. at the private house in Drury-Lane by their Majesties Servants
002599397	1638	NABBES, Thomas.	Covent Garden: a pleasant comedie [in five acts, in prose and verse], etc
002599397	1638	NABBES, Thomas.	Covent Garden: a pleasant comedie [in five acts, in prose and verse], etc
002599398	1637	NABBES, Thomas.	Hannibal and Scipio. An historicall Tragedy [in five acts and in verse]
002599399	1637	NABBES, Thomas.	Microcosmus; a morall maske [in five acts, in prose and verse], etc
002599406	1638	NABBES, Thomas.	Totenham Court: a pleasant Comedie [in five acts, in verse and prose]: acted in the yeare M.D.CXXXIII., etc
002599406	1638	NABBES, Thomas.	Totenham Court: a pleasant Comedie [in five acts, in verse and prose]: acted in the yeare M.D.CXXXIII., etc
002599409	1640	NABBES, Thomas.	Vnfortunate Mother: a tragedie. Never acted; but set downe according to the intention of the Author
002602995	1696	NAMUR	Reflections on the Poems made upon the siege and taking of Namur; together with a short answer to the Modest Examination of the Oxford Decree, &amp;c. lately published [by William Sherlock]. Both in a letter to a friend at Oxon
002621350	1623	NEPTUNE	Neptune's Triumph for the Returne of Albion, celebrated in a Masque at the Court on the Twelfth Night 1623. [By Ben Jonson.]
002621731	1633	Nero,	[The Tragedy of Nero. [In five acts and in verse.] Newly written.]
002621731	1633	Nero,	[The Tragedy of Nero. [In five acts and in verse.] Newly written.]
002630810	1662	NEVILE, Robert.	Poor Scholar. A comedy [in five acts, in prose and verse]
