Pos	Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Emotion	Emotion_Type	Emotion_Sentiment	Emotion_Other	Title	Annotator	Sentence
156-9	odorosi	Cestnun diurnwn | Coronilla varia			odorosi | più						di giorno					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	In altre piante i fiori sono assai più odorosi di giorno che di notte ; tali sono il Cestnun diurnwn e la Coronilla varia.
157-6	odorosi	Cestnun diurnwn	principi		odorosi				valida azione della luce e del calore							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Sembra che i loro principi odorosi richiedano per evaporarsi, e fors* anco per secernersi, la valida azione della luce e del calore; poiché se questi fiori vengono sottratti artificialmente di giorno all '  influsso di quelli agenti , i loro odori scemano notevolmente.
157-45	odori	questi fiori														1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Sembra che i loro principi odorosi richiedano per evaporarsi, e fors* anco per secernersi, la valida azione della luce e del calore; poiché se questi fiori vengono sottratti artificialmente di giorno all '  influsso di quelli agenti , i loro odori scemano notevolmente.
158-8	odori				intermittenti											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	*U «.LI llliOlll Degli odori intermittenti.
159-14	odori				intermittenti											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Ma il fenòmeno, che inerita maggior attenzione, è quello d alcuni odori che ben possono dirsi intermittenti, poiché si manifestano solo a date ore.
161-6	emanazione	I fiori			odorosa				soggetti ad aprirsi e chiudersi ad ore determinate | sempre aperti dopo il primo loro schiudimeli to							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Alcuni offrono intermittenza nell ' emanazione odorosa, solo perchè soggetti ad aprirsi e chiudersi ad ore determinate; ed altri, quantunque sempre aperti dopo il primo loro schiudimeli to.
162-13	odori										di giorno | di notte					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Ambedue le classi possono suddividersi in due sezioni; secondo che gli odori si emanano di giorno o di notte.
162-15	emanano										di giorno | di notte					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Ambedue le classi possono suddividersi in due sezioni; secondo che gli odori si emanano di giorno o di notte.
163-35	odori	dei fiori														1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Quanto alla prima classe, sarà mestieri investigare la causa della causa; cioè il mecanismo per cui que '  fiori si aprono e si chiudono; ma la cagione dell '  intermittenza degli odori nella seconda classe vuoisi ricercare in una diversa condizione fisiologica dei fiori che ne son dotali.
166-4	odorosi	Fiori			odorosi				aperti		solo di notte					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Fiori aperti ed odorosi solo di notte.
168-25	spandono	I fiori di questa pianta							si aprono | si chiudono per non riaprirsi		al cader del giorno | col nascere dei sole					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Mirabili* jalapa (Bella di notte, Meravigli»), I fiori di questa pianta al cader del giorno si aprono e spandono il soave loro diluvio, finché col nascere dei sole nuovamente si chiudono per non riaprirsi.
168-29	diluvio	I fiori di questa pianta										soave	Trust	Positive		1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Mirabili* jalapa (Bella di notte, Meravigli»), I fiori di questa pianta al cader del giorno si aprono e spandono il soave loro diluvio, finché col nascere dei sole nuovamente si chiudono per non riaprirsi.
179-11	diffondono	i fiori									tutta la notte					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Anche i fiori di questa si spiegano al tramonto, diffondono odore tutta la notte, e si richiudono al mattino.
179-12	odore	i fiori														1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Anche i fiori di questa si spiegano al tramonto, diffondono odore tutta la notte, e si richiudono al mattino.
185-7	sparge	un fiore grandissimo														1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Essa porta un fiore grandissimo che sparge un iratissimo olezzo, e si spiega alla sera.
185-10	olezzo	un fiore grandissimo			iratissimo											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Essa porta un fiore grandissimo che sparge un iratissimo olezzo, e si spiega alla sera.
189-15	esalando	I suoi fiori									finn al mattino					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	I suoi fiori sono bianchi , si spandono all '  entrar della notte , esalando un odore simile a quello del miele, finn al mattino quando si chiudono di nuovo.
189-17	odore	I suoi fiori					simile a quello del miele									1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	I suoi fiori sono bianchi , si spandono all '  entrar della notte , esalando un odore simile a quello del miele, finn al mattino quando si chiudono di nuovo.
193-11	spande	questo fiore									fino al mattino					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Costantemente alle ore sette questo fiore si apre, e spande fino al mattino un delizioso profumo» simile a quello della vaniglia.
193-17	profumo	questo fiore					simile a quello della vaniglia					delizioso	Trust	Positive		1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Costantemente alle ore sette questo fiore si apre, e spande fino al mattino un delizioso profumo» simile a quello della vaniglia.
195-17	odore	Cactus serpentinus			piuttosto spiacevole							spiacevole	Disgust	Negative		1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Ciò che si disse del grandi/loro vale anche del serpentino eccetto che l '  odore è piuttosto spiacevole.
199-13	sparge	Mesembrianthemum noclìflorutn									per tutta notte					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	S ' apre tra le sette e le otto ore, e sparge per tutta notte un iratissimo profumo: si chiude al mattino per riaprirsi alla sera; e  questa vicenda si continua spesso per tre o quattro giorni, mentre gli altri fiori , che siani venuti annoverando, chiusi una volta non si riaprono più.
199-19	profumo	Mesembrianthemum noclìflorutn			iratissimo											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	S ' apre tra le sette e le otto ore, e sparge per tutta notte un iratissimo profumo: si chiude al mattino per riaprirsi alla sera; e  questa vicenda si continua spesso per tre o quattro giorni, mentre gli altri fiori , che siani venuti annoverando, chiusi una volta non si riaprono più.
200-19	olezzante	questo fiore			olezzante				trovandosi il cielo nubiloso e umida l ' aria		tutto il giorno					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	E talora , trovandosi il cielo nubiloso e umida l' aria , questo fiore rimane aperto e olezzante tutto il giorno.
203-27	odore	dei fiori														1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Non mi fu dato d ' osservar queste tre piante, che appresi /lai libri essere notturne in quanto all '  aprimcnto ed all ' odore dei fiori. 2. 0 Fiori aperti e odorosi solo di giorno.
203-37	odorosi	Fiori			odorosi						solo di giorno					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Non mi fu dato d ' osservar queste tre piante, che appresi /lai libri essere notturne in quanto all '  aprimcnto ed all ' odore dei fiori. 2. 0 Fiori aperti e odorosi solo di giorno.
204-10	odore	molti fiori			appena sensibile | lievissimo											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Fra questi si potrebbero comprendere molti fiori dotati di odore lievissimo e appena sensibile.
205-13	olezzo	molti fiori		Io	abbastanza vivace											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Io però non fo parola se non d '  alcuni , i olezzo dei quali è abbastanza vivace, potendosi facilmente applicale ai primi le leggi che reggono il movimento contrattivo ed espansivo di questi.
207-9	esala	Questo fiore									solo di giorno					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Questo fiore, aperto solo di giorno, esala un odore affine a quello delle foglie del lauro-ceraso acciaccate.
207-11	odore	Questo fiore					affine a quello delle foglie del lauro-ceraso acciaccate									1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Questo fiore, aperto solo di giorno, esala un odore affine a quello delle foglie del lauro-ceraso acciaccate.
210-7	odore	I fiori della zucca										spiacevole | spiacevole	Disgust	Negative		1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	I fiori della zucca hanno spiacevole odore.
214-13	odorosissimi	la cerùlea | Nymphcea alba	molti petali		odorosissimi											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Queste ninfèe, e massime la cerùlea, hanno molti petali, odorosissimi , i quali, come i petali in generale, sono privi «li stomi.
216-6	odorosi	fiori			odorosi											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Accennali ora i principali fiori odorosi , che soggiaciono alla vicenda del chiudersi e dell ' aprirsi, non che ah une delle loro anatomiche « ondi/ioni , che più direttamente seminano riferirsi a questo fenòmeno , vediamo qual sia il inccanismo di codesti movimenti.
223-2	odorosi	Fiori			odorosi						solo di giorno					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Fiori odorosi solo di giorno.
224-18	odorosi	fiori			odorosi						solo di giorno					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Pochissimi fiori possono riferirsi a questa sezione; ed anzi non oso affermare ehe vi siano fiori odorosi solo di giorno , dopo aver riconoseiuto ehe il Cestrum diurnum che tale si è creduto, non è veramente , privo di odore nella notte , ma soltanto lo manifesta più debole.
224-42	odore	il Cestrum diurnum			più debole						nella notte					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Pochissimi fiori possono riferirsi a questa sezione; ed anzi non oso affermare ehe vi siano fiori odorosi solo di giorno , dopo aver riconoseiuto ehe il Cestrum diurnum che tale si è creduto, non è veramente , privo di odore nella notte , ma soltanto lo manifesta più debole.
225-10	odorosa	la Coronilla glauca			odorosa						solo di giorno					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Trovo però scritto che la Coronilla glauca è veramente odorosa solo di giorno, e che la Cacalia septentrionalis non tramanda effluvio aromatico, se non è direttamente percossa dai raggi del sole; di modo che, col farle ombra, si può al momento toglierle la facoltà odorante, che tosto riacquista se si espone di nuovo ai raggi solari.
225-22	effluvio	la Cacalia septentrionalis			aromatico				se non è direttamente percossa dai raggi del sole							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Trovo però scritto che la Coronilla glauca è veramente odorosa solo di giorno, e che la Cacalia septentrionalis non tramanda effluvio aromatico, se non è direttamente percossa dai raggi del sole; di modo che, col farle ombra, si può al momento toglierle la facoltà odorante, che tosto riacquista se si espone di nuovo ai raggi solari.
225-50	odorante	la Cacalia septentrionalis			odorante				col farle ombra							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Trovo però scritto che la Coronilla glauca è veramente odorosa solo di giorno, e che la Cacalia septentrionalis non tramanda effluvio aromatico, se non è direttamente percossa dai raggi del sole; di modo che, col farle ombra, si può al momento toglierle la facoltà odorante, che tosto riacquista se si espone di nuovo ai raggi solari.
226-33	odorose	materie			odorose											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Per queste due piante manco d ' osservazioni mie proprie; ma, se esse hanno veramente la proprietà ehe loro si attribuisce, sembrami poterla derivare dalla poca volatilità delle materie odorose che tramandano, e fors ' anco da un bisogno immediato che hanno queste piante della luce e del calorico per preparare le medesime sostanze odoranti.
226-59	odoranti	queste piante	sostanze		odoranti				della luce e del calorico							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Per queste due piante manco d ' osservazioni mie proprie; ma, se esse hanno veramente la proprietà ehe loro si attribuisce, sembrami poterla derivare dalla poca volatilità delle materie odorose che tramandano, e fors ' anco da un bisogno immediato che hanno queste piante della luce e del calorico per preparare le medesime sostanze odoranti.
227-2	odorosi	Fiori			odorosi						solo di notte					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Fiori odorosi solo di notte. i Pclargonium Viste} Cestrum nocturnunij Ilesperis tristisj Gladiolus tristis. i3.° Pclargonium triste (Geranio notturno).
228-16	odore	I fiori di questo pelargonio			sensibile , ma in lievissimo grado						per la maggior parte del giorno | Verso le cinque ore pomeridiane					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	I fiori di questo pelargonio per la maggior parte del giorno sono affatto privi di odore.
230-6	odore					quanto più recente è l ' apertura del fiore			tanto più presto si manifesta e più tardi svanisce							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Si noti però che questo odore tanto più presto si manifesta e più tardi svanisce, quanto più recente è l ' apertura del fiore.
231-8	odorosa	I petali			odorosa											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	I petali, che sono la parte odorosa, hanno la pagina superiore di color giallo-verdiccio pallido con macchie di pavonazzo oscuro: alla sera sopra di essa si scorgono granfili ni splendenti, chè non si scorgono di giorno , e sono cèllule piene d '  umor trasparente.
234-14	odore	Cestrum noctunuun					come il geranio notturno		esposto all ' aria libera							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Questo fiore esposto all ' aria libera si comporta, quanto all '  odore , come il geranio notturno.
241-11	odore	una pianta fiorita del geranio notturno		mi	alcun | meno intenso						nelle ore diurne | alla sera					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Ma nelle ore diurne non mi fu dato risentirvi alcun odore: anzi questo alla sera comparve più tardi del solito, e meno intenso.
242-13	emanazione															1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Sospettando che l '  umidità della sera avesse qualche influenza sull'  emanazione di quest '  odore , collocai la stessa pianta in atmosfera umidissima , la ricopersi con un canestro involto di panni li ni bagnati, ma nemmen questa esperienza ebbe risultamcuto favorevole a quella congettura.
242-17	odore	la stessa pianta														1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Sospettando che l '  umidità della sera avesse qualche influenza sull'  emanazione di quest '  odore , collocai la stessa pianta in atmosfera umidissima , la ricopersi con un canestro involto di panni li ni bagnati, ma nemmen questa esperienza ebbe risultamcuto favorevole a quella congettura.
243-20	olezzo	dei fiori			più forte del consueto				esposto al sole per la maggior parte del giorno		alla sera					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Tenni il Pelargonio esposto al sole per la maggior parte del giorno, ed alla sera trovai l ' olezzo dei fiori più forte del consueto.
244-30	emise	Cestix notturno							tenuto all ' oscuro		anche di giorno					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Simili prove ho praticato anche sul Cestix notturno , e n ' ebbi pressoché i medesimi risultamenti; se non che questo fiore, tenuto all '  oscuro, emise anche di giorno un leggierissimo profumo , quasi nullo però in confronto di quello che spande nella notte.
244-36	profumo	Cestix notturno			leggierissimo											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Simili prove ho praticato anche sul Cestix notturno , e n ' ebbi pressoché i medesimi risultamenti; se non che questo fiore, tenuto all '  oscuro, emise anche di giorno un leggierissimo profumo , quasi nullo però in confronto di quello che spande nella notte.
244-46	spande	Cestix notturno									nella notte					1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Simili prove ho praticato anche sul Cestix notturno , e n ' ebbi pressoché i medesimi risultamenti; se non che questo fiore, tenuto all '  oscuro, emise anche di giorno un leggierissimo profumo , quasi nullo però in confronto di quello che spande nella notte.
246-19	odore	quelle piante			notturno				l ' azione della luce solare							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Che anzi l ' azione della luce solare su quelle piante è assai favorevole allo sviluppo dell '  odore notturno.
247-23	odoriferi	organi			odoriferi											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Per essa difatti tutte le funzioni della pianta si compiono con maggior vigoria, ed è quindi a credersi che gli organi odoriferi o vengano disposti a preparare la sostanza odorosa , od anche la secernano di giorno per esalarla poi nella notte.
247-31	odorosa	la sostanza			odorosa											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Per essa difatti tutte le funzioni della pianta si compiono con maggior vigoria, ed è quindi a credersi che gli organi odoriferi o vengano disposti a preparare la sostanza odorosa , od anche la secernano di giorno per esalarla poi nella notte.
250-33	odorante	materia			odorante				avviene nel fiore un adunamento d ' umore							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Nella notte invece, quand '  essi si trovano chiusi, avviene nel fiore un adunamento d ' umore; d ' un umore che forse deve contribuire alla secrezione della materia odorante: o forse la compressione esercitata dalle cèllule turgide sopra gli organi odoriferi fa si che questi esalino il loro effluvio.
250-46	odoriferi	organi			odoriferi				forse la compressione esercitata dalle cèllule turgide							1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Nella notte invece, quand '  essi si trovano chiusi, avviene nel fiore un adunamento d ' umore; d ' un umore che forse deve contribuire alla secrezione della materia odorante: o forse la compressione esercitata dalle cèllule turgide sopra gli organi odoriferi fa si che questi esalino il loro effluvio.
250-51	esalino	organi														1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Nella notte invece, quand '  essi si trovano chiusi, avviene nel fiore un adunamento d ' umore; d ' un umore che forse deve contribuire alla secrezione della materia odorante: o forse la compressione esercitata dalle cèllule turgide sopra gli organi odoriferi fa si che questi esalino il loro effluvio.
250-54	effluvio	organi														1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Nella notte invece, quand '  essi si trovano chiusi, avviene nel fiore un adunamento d ' umore; d ' un umore che forse deve contribuire alla secrezione della materia odorante: o forse la compressione esercitata dalle cèllule turgide sopra gli organi odoriferi fa si che questi esalino il loro effluvio.
251-7	odori			io	intermittenti											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Intorno a questa classe d ' odori intermittenti però molte esperienze rimangono a istituirsi, ch ' io non ebbi agio d ' intraprendere , e che potranno meglio dilucidare l '  esposta opinione.
252-18	odori				fiorali											1841_Su_gli_odori_dei_fiori_memoria_del_dottor_Augusto_Trinchinetti__177_distribution.tsv	noemi.tsv	Sono ben lungi dal credere d '  aver con questo mio lavoro esaurito l'  argomento degli odori fiorali : che anzi la mancanza d ' alcune osservazioni, e la presenza d ' alcune pure ipotesi, me lo fanno riguardare come opera molto imperfetta.
1-2	PROFUMI											li troviamo maggiormente gustati dalla donna	Trust	Positive		ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	DEI PROFUMI   I piaceri dell’olfatto, così fugaci e scarsamente  apprezzati dalle persone volgari, sono tra quelli che dinotano maggiore squisitezza di scnsività , epperò li troviamo maggiormente gustati dalla donna i cui nervi sono tanto più delicati di quelli dell’uomo.
1-7	olfatto			dalle persone volgari												ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	DEI PROFUMI   I piaceri dell’olfatto, così fugaci e scarsamente  apprezzati dalle persone volgari, sono tra quelli che dinotano maggiore squisitezza di scnsività , epperò li troviamo maggiormente gustati dalla donna i cui nervi sono tanto più delicati di quelli dell’uomo.
2-29	odore			taluno | altri								gradevole | sgradevolissimo | gradevole | sgradevolissimo	Disgust	Negative		ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	E si può aggiungere ancora che questi piaceri sono tra i più variamente sentiti dai diversi individui, non essendo infrequente il caso che taluno trovi gradevole un odore che per altri riesce sgradevolissimo; e, prescindendo anche dai casi patologici nei quali può riuscir grato un odore per la generalità nauseabondo, o viceversa, è cosa nota che per certi individui un dato odore è causa di avversione invincibile senza che di ciò si possa trovare una plausibile ragione.
2-49	odore											grato | nauseabondo	Disgust	Negative		ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	E si può aggiungere ancora che questi piaceri sono tra i più variamente sentiti dai diversi individui, non essendo infrequente il caso che taluno trovi gradevole un odore che per altri riesce sgradevolissimo; e, prescindendo anche dai casi patologici nei quali può riuscir grato un odore per la generalità nauseabondo, o viceversa, è cosa nota che per certi individui un dato odore è causa di avversione invincibile senza che di ciò si possa trovare una plausibile ragione.
2-67	odore			per certi individui								è causa di avversione invincibile senza che di ciò si possa trovare una plausibile ragione | è causa di avversione invincibile senza che di ciò si possa trovare una plausibile ragione	Disgust	Negative		ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	E si può aggiungere ancora che questi piaceri sono tra i più variamente sentiti dai diversi individui, non essendo infrequente il caso che taluno trovi gradevole un odore che per altri riesce sgradevolissimo; e, prescindendo anche dai casi patologici nei quali può riuscir grato un odore per la generalità nauseabondo, o viceversa, è cosa nota che per certi individui un dato odore è causa di avversione invincibile senza che di ciò si possa trovare una plausibile ragione.
3-3	olfatto															ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	Dell’olfatto, come degli altri sensi, la civiltà ha reso meno necessaria l’acuità, che troviamo invece ancora sviluppatissima nei popoli selvaggi.
5-17	odorato			persone												ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	Ne abbiamo esempii quotidiani in persone che per la professione che esercitano devono tenere l’odorato in esercizio.
6-6	essenze			profumiere												ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	Nel profumiere che maneggia continuamente essenze e profumi, l’olfatto può acquistare tale perfezione di sviluppo da permettergli di discernere quali essenze note facciano parte della composizione d’un determinato bouquet , e fino ad un certo punto anche in quali proporzioni esse vi si trovino mescolate.
6-8	profumi			profumiere												ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	Nel profumiere che maneggia continuamente essenze e profumi, l’olfatto può acquistare tale perfezione di sviluppo da permettergli di discernere quali essenze note facciano parte della composizione d’un determinato bouquet , e fino ad un certo punto anche in quali proporzioni esse vi si trovino mescolate.
6-12	olfatto			profumiere												ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	Nel profumiere che maneggia continuamente essenze e profumi, l’olfatto può acquistare tale perfezione di sviluppo da permettergli di discernere quali essenze note facciano parte della composizione d’un determinato bouquet , e fino ad un certo punto anche in quali proporzioni esse vi si trovino mescolate.
6-24	essenze			profumiere	note											ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	Nel profumiere che maneggia continuamente essenze e profumi, l’olfatto può acquistare tale perfezione di sviluppo da permettergli di discernere quali essenze note facciano parte della composizione d’un determinato bouquet , e fino ad un certo punto anche in quali proporzioni esse vi si trovino mescolate.
7-18	profumi			ci	gradevole							sensazione gradevole	Trust	Positive		ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	A parte la sensazione gradevole che i nostri nervi olfattorii ci procurano, l’uso dei profumi, così esteso presso i popoli delle regioni tropicali, sia antichi che con temporanei, ha anche un certo lato igienico, valendo a modificare o almeno a mascherare emanazioni sgradevoli e generalmente malsane delle quali il torrido clima favorisce lo sviluppo ; e noi usiamo pure sovente sostanze aromatiche quasi a combattere miasmi che potessero trovarsi sparsi nell’aria.
7-49	emanazioni				generalmente malsane				delle quali il torrido clima favorisce lo sviluppo			sgradevoli | sgradevoli	Disgust	Negative		ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	A parte la sensazione gradevole che i nostri nervi olfattorii ci procurano, l’uso dei profumi, così esteso presso i popoli delle regioni tropicali, sia antichi che con temporanei, ha anche un certo lato igienico, valendo a modificare o almeno a mascherare emanazioni sgradevoli e generalmente malsane delle quali il torrido clima favorisce lo sviluppo ; e noi usiamo pure sovente sostanze aromatiche quasi a combattere miasmi che potessero trovarsi sparsi nell’aria.
7-69	aromatiche		sostanze		aromatiche											ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	A parte la sensazione gradevole che i nostri nervi olfattorii ci procurano, l’uso dei profumi, così esteso presso i popoli delle regioni tropicali, sia antichi che con temporanei, ha anche un certo lato igienico, valendo a modificare o almeno a mascherare emanazioni sgradevoli e generalmente malsane delle quali il torrido clima favorisce lo sviluppo ; e noi usiamo pure sovente sostanze aromatiche quasi a combattere miasmi che potessero trovarsi sparsi nell’aria.
7-73	miasmi		nell ’ aria									quasi a combattere miasmi	Anticipation	Positive		ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	A parte la sensazione gradevole che i nostri nervi olfattorii ci procurano, l’uso dei profumi, così esteso presso i popoli delle regioni tropicali, sia antichi che con temporanei, ha anche un certo lato igienico, valendo a modificare o almeno a mascherare emanazioni sgradevoli e generalmente malsane delle quali il torrido clima favorisce lo sviluppo ; e noi usiamo pure sovente sostanze aromatiche quasi a combattere miasmi che potessero trovarsi sparsi nell’aria.
8-12	profumi											gradevole | gradevole	Trust	Positive		ManualeDelProfumiere-DaAnnotare__783_distribution.tsv	noemi.tsv	Errore questo che bisogna sradicare, non avendo in genere i profumi che un’azione gradevole per l’olfatto, ma punto efficace contro i microrganismi patogeni.
